1,SNAP Shot,0.818182,5/31/2016 23:53,University of Buffalo,106
2,Columbia-ds,0.79646,6/1/2016 15:48,Columbia University,63
3,Dataminers,0.702703,5/31/2016 12:05,North Carolina State University,93
4,hundred,0.690519,5/18/2016 10:54,DePaul University,95
5,CHK,0.689915,6/1/2016 12:13,Stevens Institute of Technology,162
6,yellow42,0.689312,5/30/2016 12:11,"University of Maryland, College Park",130
7,Olympian,0.689189,5/28/2016 23:04,University of Texas at Dallas,44
8,ZenMaster,0.68901,6/1/2016 2:21,University of Cincinnati,136
9,comets,0.688104,5/21/2016 23:52,University Of Texas at Dallas,168
10,ChrisKrish,0.6875,6/1/2016 20:00,Drexel University,252
11,Sparky,0.687198,5/28/2016 20:42,Arizona State University,52
12,ZK7,0.68599,4/29/2016 9:25,University of Texas at Dallas,58
13,losblancos,0.68599,5/23/2016 18:48,Arizona State University,149
14,Analyst_1,0.68599,5/22/2016 9:19,University of Texas at Dallas,51
15,tusharsfc,0.685386,4/19/2016 6:45,SHIATS,76
16,Weka,0.685386,5/8/2016 2:30,University of Texas at Austin,41
17,Fantastic Five,0.684481,6/1/2016 12:46,Georgia State University,25
18,P2B,0.684179,5/21/2016 3:41,DePaul University,103
19,hoosiers,0.684179,6/1/2016 19:51,Indiana University Bloomington,317
20,harshiladitya,0.683575,5/12/2016 11:52,University Of Texas at Dallas,145
21,harshiladitya,0.683575,5/12/2016 11:52,University Of Texas at Dallas,145
22,ML@USC,0.683575,5/23/2016 11:35,University of Southern California,27
23,NTKMachine,0.683273,5/16/2016 10:43,University Of Cincinnati,62
24,Data Is Beautiful,0.683273,5/24/2016 8:05,State University of New York at Buffalo,58
25,HornOR,0.683273,5/22/2016 22:28,University of Texas at Austin,11
26,TTURaiders,0.683273,5/17/2016 13:05,Texas TEch University,91
27,joyceye,0.682971,4/19/2016 1:06,Columbia University,30
28,Group 3,0.682669,5/22/2016 3:09,university of colorado denver,89
29,Qiudong Deng,0.682669,5/15/2016 21:16,georgia state university,39
30,Analyze that!!,0.682669,5/29/2016 5:21,"SUNY, University at Buffalo",5
31,ZingZ,0.682367,4/8/2016 22:42,University of Texas at Dallas,47
32,DataGo,0.682367,5/24/2016 19:39,University of Pittsburgh,154
33,APE,0.682367,5/29/2016 22:18,"University of California, Davis",31
34,White Sox,0.682367,5/19/2016 13:13,DePaul University,63
35,Siva Krishna,0.682065,5/29/2016 11:11,University of North Carolina at Charlotte,62
36,composersyf,0.682065,6/1/2016 15:11,University of VIrginia,1
37,Phoenix,0.681461,5/24/2016 13:33,UNC Charlotte,58
38,Yan&Chen,0.681461,5/31/2016 6:10,Worcester Polytechnic Institute,7
39,Lift,0.681159,5/17/2016 22:38,University of Connecticut,14
40,HackaSquirrels,0.680857,5/27/2016 14:14,Lehigh University,62
41,Team Spark,0.680254,5/22/2016 3:04,University at Buffalo,59
42,R and R,0.67965,5/29/2016 13:04,Texas Tech University,48
43,DPU,0.678744,5/3/2016 10:29,DePaul University,26
44,ForeSeer,0.678744,5/14/2016 21:52,"University of Illinois, Chicago",4
45,HongKongReporter,0.677838,5/24/2016 10:45,Carnegie Mellon University,355
46,Furonics,0.677536,6/1/2016 14:27,University of Colorado Boulder,111
47,Alex Devine - DePaul University,0.677234,4/27/2016 22:24,DePaul University,21
48,The Classified Group,0.677234,6/1/2016 20:06,Columbia University,150
49,Data Shiny,0.677234,6/1/2016 13:39,Columbia University,27
50,huskies,0.676932,4/20/2016 15:06,Northeastern University,7
51,Clay.,0.676329,5/31/2016 8:05,Columbia University,21
52,yling10,0.676329,4/26/2016 16:23,UMass Amherst,4
53,Cheerleader,0.676027,4/15/2016 21:53,Fordham University,1
54,Palencia,0.676027,5/7/2016 11:42,University of Texas at Dallas,16
55,fanatics,0.674819,5/10/2016 3:04,University of Texas at Arlington,46
56,DataDog,0.674819,5/25/2016 10:23,Cornell University,9
57,FCC,0.674517,5/31/2016 18:47,DePaul University,48
58,Data-Scalers,0.674215,5/25/2016 1:57,University of Washington,14
59,Data xperts1,0.673611,5/28/2016 6:52,OSU,117
60,silentMiners,0.673102,5/28/2016 11:58,Arizona State University,4
61,Emiya,0.673007,5/19/2016 16:21,New York University,8
62,Mindpalace,0.671498,5/25/2016 14:15,University of Southern California,1
63,spuran,0.671196,5/26/2016 22:13,UNCC,12
64,USF Bulls,0.670894,5/31/2016 5:30,University of South Florida,21
65,UMBC_Sharma,0.67029,4/29/2016 17:01,University of Maryland Baltimore County,4
66,AP,0.67029,5/6/2016 12:34,"Texas A&M University, College Station",2
67,Perfect Fitting,0.669384,5/25/2016 21:18,The University of Texas at Dallas,20
68,TheDarkSide,0.66932,5/7/2016 18:40,Bentley University,3
69,Databot,0.669082,5/25/2016 22:07,University of Illinois at Chicago,6
70,DataNiners,0.667874,5/30/2016 3:18,UNC charlotte,6
71,Fox_Analyst,0.665761,5/6/2016 23:22,Temple University,12
72,san guo zhi,0.664855,4/8/2016 10:57,Lehigh University,16
73,Maxi,0.664855,5/15/2016 23:38,University of Texas at Dallas,12
74,Falcon Miners,0.664677,5/5/2016 18:02,Bentley University,15
75,BENCH MARK,0.663345,3/30/2016 16:02,RANG-KVRA,1
76,JinliXu,0.663043,4/13/2016 16:42,Syracuse University,1
77,Arpita,0.663043,5/16/2016 23:16,Illinois Institute of Technology,2
78,texans,0.66093,4/17/2016 13:08,university of houston,9
79,letthegamesbegin,0.658514,4/16/2016 22:25,Texas A&M University,2
80,BlitzCoder,0.658514,4/23/2016 21:49,"UNC, Charlotte",2
81,Hofstra Pride,0.653684,6/1/2016 12:33,Hofstra University,20
82,M&M,0.649457,5/28/2016 17:39,Rutgers University,1
83,nixters,0.647645,4/12/2016 17:55,Louisiana State University,2
84,SmartSnake,0.646437,6/1/2016 8:48,Rutgers,19
85,Ms. Doudou,0.625302,5/26/2016 1:46,University of Southern California,5
86,utdpokemon,0.621981,6/1/2016 19:50,University of Texas at Dallas,35
87,Heinz,0.599034,5/11/2016 18:59,Carnegie Mellon University,1
88,Data Maniacs,0.583031,5/19/2016 10:31,University of Texas at Dallas,5
89,USF_Phoenix,0.582428,4/27/2016 19:08,University of South Florida,2
90,RNinjaMiner,0.510613,5/28/2016 14:01,Missouri S&T,22
91,aagrawa8,0.508454,5/24/2016 6:13,North Carolina State University,24
92,Neeraj,0.508153,5/1/2016 6:00,WVVU,2
93,Miner49er,0.502415,5/31/2016 3:45,University at Buffalo,1
94,teammaximus,0.497283,4/11/2016 20:43,Georgia Institute of technology,5
95,Hokies,0.347222,5/23/2016 20:15,Virginia Tech,7
