1,Columbia-ds,Columbia University,0.711207,1st Prize Winner
2,Dataminers,North Carolina State University,0.704545,2nd Prize Winner
3,Olympian,University Of Texas at Dallas,0.693182,3rd Prize Winner
4,hundred,DePaul University,0.690168,Top 10% of partcipants
5,CHK,Stevens Institute of Technology,0.689004,Top 10% of partcipants
6,White Sox,DePaul University,0.688616,Top 10% of partcipants
7,ML@USC,University of Southern California,0.688486,Top 10% of partcipants
8,composersyf,University of Virginia,0.688486,Top 10% of partcipants
9,comets,University Of Texas at Dallas,0.688357,Top 10% of partcipants
10,ZenMaster,University Of Cincinnati,0.688228,Top 10% of partcipants
11,NTKMachine,University Of Cincinnati,0.687581,Top 10% of partcipants
12,Fantastic Five,Georgia State University,0.687322,Top 10% of partcipants
13,Sparky,Arizona State University,0.687063,Top 20% of partcipants
14,Weka,University of Texas at Austin,0.685899,Top 20% of partcipants
15,ChrisKrish,Drexel University,0.685899,Top 20% of partcipants
16,hoosiers,Indiana University Bloomington,0.68577,Top 20% of partcipants
17,TTURaiders,Texas Tech University,0.68577,Top 20% of partcipants
18,yellow42,"University of Maryland, College Park",0.685511,Top 20% of partcipants
19,Lift,University Of Connecticut,0.685511,Top 20% of partcipants
20,DPU,DePaul University,0.685382,Top 20% of partcipants
21,Yan&Chen,Worcester Polytechnic Institute,0.685123,Top 20% of partcipants
