"Cust_id","Active_Customer"
"F25767",0
"F25768",1
"F25769",0
"F25770",0
"F25771",0
"F25772",0
"F25773",0
"F25774",0
"F25775",0
"F25776",1
"F25777",0
"F25778",1
"F25779",0
"F25780",1
"F25781",0
"F25782",1
"F25783",0
"F25784",0
"F25785",1
"F25786",0
"F25787",0
"F25788",1
"F25789",1
"F25790",0
"F25791",1
"F25792",1
"F25793",1
"F25794",0
"F25795",0
"F25796",1
"F25797",1
"F25798",0
"F25799",1
"F25800",0
"F25801",1
"F25802",0
"F25803",0
"F25804",0
"F25805",0
"F25806",0
"F25807",1
"F25808",1
"F25809",0
"F25810",1
"F25811",1
"F25812",0
"F25813",1
"F25814",0
"F25815",0
"F25816",0
"F25817",0
"F25818",1
"F25819",0
"F25820",0
"F25821",1
"F25822",1
"F25823",0
"F25824",1
"F25825",1
"F25826",0
"F25827",0
"F25828",0
"F25829",0
"F25830",1
"F25831",1
"F25832",1
"F25833",0
"F25834",1
"F25835",0
"F25836",1
"F25837",0
"F25838",1
"F25839",0
"F25840",0
"F25841",1
"F25842",0
"F25843",0
"F25844",0
"F25845",1
"F25846",0
"F25847",0
"F25848",0
"F25849",0
"F25850",1
"F25851",1
"F25852",0
"F25853",0
"F25854",0
"F25855",1
"F25856",0
"F25857",0
"F25858",0
"F25859",1
"F25860",0
"F25861",1
"F25862",1
"F25863",0
"F25864",1
"F25865",1
"F25866",1
"F25867",0
"F25868",0
"F25869",1
"F25870",0
"F25871",0
"F25872",0
"F25873",0
"F25874",0
"F25875",1
"F25876",0
"F25877",0
"F25878",1
"F25879",0
"F25880",0
"F25881",1
"F25882",0
"F25883",1
"F25884",0
"F25885",1
"F25886",1
"F25887",0
"F25888",0
"F25889",0
"F25890",1
"F25891",0
"F25892",0
"F25893",1
"F25894",0
"F25895",1
"F25896",1
"F25897",0
"F25898",0
"F25899",1
"F25900",0
"F25901",0
"F25902",1
"F25903",0
"F25904",1
"F25905",0
"F25906",0
"F25907",0
"F25908",1
"F25909",1
"F25910",0
"F25911",0
"F25912",0
"F25913",0
"F25914",1
"F25915",0
"F25916",1
"F25917",0
"F25918",0
"F25919",0
"F25920",1
"F25921",0
"F25922",1
"F25923",1
"F25924",0
"F25925",1
"F25926",0
"F25927",0
"F25928",0
"F25929",1
"F25930",0
"F25931",1
"F25932",1
"F25933",1
"F25934",1
"F25935",1
"F25936",1
"F25937",1
"F25938",1
"F25939",0
"F25940",0
"F25941",1
"F25942",0
"F25943",0
"F25944",0
"F25945",1
"F25946",0
"F25947",0
"F25948",0
"F25949",0
"F25950",1
"F25951",1
"F25952",0
"F25953",1
"F25954",0
"F25955",1
"F25956",0
"F25957",0
"F25958",0
"F25959",0
"F25960",0
"F25961",0
"F25962",1
"F25963",0
"F25964",1
"F25965",1
"F25966",0
"F25967",1
"F25968",0
"F25969",0
"F25970",0
"F25971",0
"F25972",0
"F25973",0
"F25974",1
"F25975",1
"F25976",1
"F25977",1
"F25978",1
"F25979",1
"F25980",1
"F25981",0
"F25982",0
"F25983",1
"F25984",0
"F25985",0
"F25986",0
"F25987",0
"F25988",1
"F25989",0
"F25990",1
"F25991",0
"F25992",0
"F25993",1
"F25994",1
"F25995",0
"F25996",0
"F25997",0
"F25998",1
"F25999",1
"F26000",0
"F26001",1
"F26002",0
"F26003",1
"F26004",0
"F26005",0
"F26006",1
"F26007",0
"F26008",1
"F26009",1
"F26010",1
"F26011",0
"F26012",1
"F26013",0
"F26014",0
"F26015",0
"F26016",0
"F26017",0
"F26018",0
"F26019",1
"F26020",0
"F26021",0
"F26022",0
"F26023",0
"F26024",0
"F26025",0
"F26026",0
"F26027",1
"F26028",1
"F26029",0
"F26030",0
"F26031",1
"F26032",1
"F26033",1
"F26034",0
"F26035",0
"F26036",0
"F26037",0
"F26038",1
"F26039",0
"F26040",1
"F26041",0
"F26042",0
"F26043",1
"F26044",1
"F26045",0
"F26046",0
"F26047",0
"F26048",1
"F26049",1
"F26050",1
"F26051",1
"F26052",0
"F26053",0
"F26054",1
"F26055",1
"F26056",0
"F26057",1
"F26058",1
"F26059",0
"F26060",0
"F26061",0
"F26062",1
"F26063",1
"F26064",1
"F26065",0
"F26066",0
"F26067",1
"F26068",0
"F26069",0
"F26070",1
"F26071",0
"F26072",0
"F26073",1
"F26074",0
"F26075",0
"F26076",0
"F26077",0
"F26078",0
"F26079",0
"F26080",0
"F26081",1
"F26082",0
"F26083",0
"F26084",0
"F26085",0
"F26086",0
"F26087",1
"F26088",0
"F26089",1
"F26090",0
"F26091",1
"F26092",1
"F26093",1
"F26094",0
"F26095",1
"F26096",1
"F26097",0
"F26098",1
"F26099",1
"F26100",0
"F26101",1
"F26102",0
"F26103",0
"F26104",1
"F26105",1
"F26106",0
"F26107",1
"F26108",0
"F26109",1
"F26110",1
"F26111",0
"F26112",1
"F26113",0
"F26114",1
"F26115",0
"F26116",0
"F26117",0
"F26118",0
"F26119",0
"F26120",0
"F26121",1
"F26122",0
"F26123",0
"F26124",1
"F26125",0
"F26126",0
"F26127",0
"F26128",0
"F26129",0
"F26130",1
"F26131",0
"F26132",0
"F26133",0
"F26134",1
"F26135",0
"F26136",1
"F26137",1
"F26138",1
"F26139",1
"F26140",1
"F26141",0
"F26142",1
"F26143",1
"F26144",0
"F26145",0
"F26146",1
"F26147",0
"F26148",0
"F26149",0
"F26150",0
"F26151",1
"F26152",1
"F26153",1
"F26154",1
"F26155",0
"F26156",1
"F26157",1
"F26158",0
"F26159",0
"F26160",1
"F26161",0
"F26162",0
"F26163",0
"F26164",0
"F26165",1
"F26166",1
"F26167",1
"F26168",0
"F26169",1
"F26170",0
"F26171",0
"F26172",0
"F26173",0
"F26174",0
"F26175",1
"F26176",0
"F26177",1
"F26178",1
"F26179",1
"F26180",1
"F26181",1
"F26182",0
"F26183",1
"F26184",1
"F26185",0
"F26186",0
"F26187",0
"F26188",1
"F26189",0
"F26190",0
"F26191",1
"F26192",0
"F26193",1
"F26194",0
"F26195",0
"F26196",0
"F26197",1
"F26198",1
"F26199",1
"F26200",0
"F26201",1
"F26202",1
"F26203",0
"F26204",1
"F26205",0
"F26206",0
"F26207",0
"F26208",0
"F26209",0
"F26210",1
"F26211",0
"F26212",1
"F26213",0
"F26214",0
"F26215",0
"F26216",0
"F26217",0
"F26218",0
"F26219",1
"F26220",1
"F26221",1
"F26222",0
"F26223",0
"F26224",0
"F26225",1
"F26226",0
"F26227",1
"F26228",0
"F26229",1
"F26230",0
"F26231",0
"F26232",0
"F26233",1
"F26234",0
"F26235",1
"F26236",1
"F26237",0
"F26238",0
"F26239",0
"F26240",0
"F26241",0
"F26242",1
"F26243",0
"F26244",0
"F26245",0
"F26246",0
"F26247",0
"F26248",0
"F26249",1
"F26250",1
"F26251",1
"F26252",1
"F26253",1
"F26254",1
"F26255",0
"F26256",0
"F26257",0
"F26258",1
"F26259",1
"F26260",1
"F26261",0
"F26262",1
"F26263",1
"F26264",0
"F26265",0
"F26266",0
"F26267",1
"F26268",0
"F26269",0
"F26270",0
"F26271",1
"F26272",0
"F26273",0
"F26274",1
"F26275",0
"F26276",1
"F26277",0
"F26278",1
"F26279",0
"F26280",0
"F26281",0
"F26282",1
"F26283",1
"F26284",1
"F26285",0
"F26286",0
"F26287",1
"F26288",1
"F26289",0
"F26290",0
"F26291",1
"F26292",0
"F26293",1
"F26294",0
"F26295",0
"F26296",1
"F26297",0
"F26298",0
"F26299",1
"F26300",0
"F26301",0
"F26302",1
"F26303",1
"F26304",1
"F26305",1
"F26306",1
"F26307",0
"F26308",0
"F26309",1
"F26310",0
"F26311",1
"F26312",1
"F26313",0
"F26314",1
"F26315",1
"F26316",0
"F26317",0
"F26318",0
"F26319",1
"F26320",0
"F26321",0
"F26322",0
"F26323",0
"F26324",1
"F26325",0
"F26326",0
"F26327",1
"F26328",0
"F26329",1
"F26330",0
"F26331",0
"F26332",1
"F26333",1
"F26334",0
"F26335",1
"F26336",1
"F26337",1
"F26338",1
"F26339",0
"F26340",0
"F26341",0
"F26342",0
"F26343",0
"F26344",0
"F26345",0
"F26346",0
"F26347",1
"F26348",0
"F26349",0
"F26350",0
"F26351",1
"F26352",0
"F26353",0
"F26354",0
"F26355",1
"F26356",0
"F26357",0
"F26358",1
"F26359",1
"F26360",1
"F26361",1
"F26362",0
"F26363",0
"F26364",1
"F26365",0
"F26366",1
"F26367",1
"F26368",1
"F26369",0
"F26370",1
"F26371",0
"F26372",1
"F26373",1
"F26374",1
"F26375",0
"F26376",0
"F26377",0
"F26378",0
"F26379",0
"F26380",0
"F26381",1
"F26382",1
"F26383",1
"F26384",0
"F26385",0
"F26386",1
"F26387",1
"F26388",1
"F26389",0
"F26390",0
"F26391",0
"F26392",1
"F26393",1
"F26394",1
"F26395",0
"F26396",0
"F26397",1
"F26398",1
"F26399",0
"F26400",0
"F26401",0
"F26402",0
"F26403",1
"F26404",0
"F26405",0
"F26406",0
"F26407",1
"F26408",0
"F26409",0
"F26410",1
"F26411",0
"F26412",0
"F26413",0
"F26414",0
"F26415",0
"F26416",1
"F26417",1
"F26418",0
"F26419",1
"F26420",0
"F26421",1
"F26422",0
"F26423",0
"F26424",0
"F26425",1
"F26426",0
"F26427",0
"F26428",0
"F26429",0
"F26430",0
"F26431",1
"F26432",1
"F26433",0
"F26434",1
"F26435",0
"F26436",0
"F26437",1
"F26438",0
"F26439",0
"F26440",0
"F26441",1
"F26442",0
"F26443",0
"F26444",0
"F26445",0
"F26446",0
"F26447",1
"F26448",1
"F26449",0
"F26450",1
"F26451",0
"F26452",1
"F26453",1
"F26454",1
"F26455",0
"F26456",1
"F26457",1
"F26458",0
"F26459",0
"F26460",1
"F26461",1
"F26462",1
"F26463",0
"F26464",0
"F26465",0
"F26466",0
"F26467",0
"F26468",0
"F26469",0
"F26470",1
"F26471",0
"F26472",0
"F26473",0
"F26474",0
"F26475",1
"F26476",0
"F26477",1
"F26478",0
"F26479",0
"F26480",0
"F26481",1
"F26482",1
"F26483",0
"F26484",0
"F26485",1
"F26486",0
"F26487",0
"F26488",1
"F26489",0
"F26490",1
"F26491",0
"F26492",0
"F26493",0
"F26494",1
"F26495",0
"F26496",0
"F26497",1
"F26498",1
"F26499",1
"F26500",0
"F26501",1
"F26502",0
"F26503",0
"F26504",1
"F26505",1
"F26506",0
"F26507",0
"F26508",1
"F26509",0
"F26510",1
"F26511",0
"F26512",1
"F26513",1
"F26514",0
"F26515",0
"F26516",0
"F26517",0
"F26518",1
"F26519",0
"F26520",1
"F26521",1
"F26522",0
"F26523",0
"F26524",1
"F26525",0
"F26526",0
"F26527",0
"F26528",0
"F26529",0
"F26530",0
"F26531",0
"F26532",0
"F26533",0
"F26534",1
"F26535",0
"F26536",0
"F26537",1
"F26538",1
"F26539",0
"F26540",0
"F26541",0
"F26542",0
"F26543",0
"F26544",0
"F26545",0
"F26546",0
"F26547",0
"F26548",0
"F26549",0
"F26550",0
"F26551",0
"F26552",0
"F26553",0
"F26554",0
"F26555",0
"F26556",0
"F26557",0
"F26558",0
"F26559",1
"F26560",1
"F26561",1
"F26562",0
"F26563",0
"F26564",1
"F26565",0
"F26566",1
"F26567",0
"F26568",1
"F26569",0
"F26570",0
"F26571",1
"F26572",1
"F26573",0
"F26574",0
"F26575",0
"F26576",0
"F26577",0
"F26578",0
"F26579",0
"F26580",0
"F26581",1
"F26582",0
"F26583",0
"F26584",0
"F26585",0
"F26586",1
"F26587",1
"F26588",0
"F26589",1
"F26590",0
"F26591",1
"F26592",1
"F26593",1
"F26594",0
"F26595",0
"F26596",1
"F26597",1
"F26598",0
"F26599",1
"F26600",1
"F26601",0
"F26602",0
"F26603",0
"F26604",1
"F26605",1
"F26606",0
"F26607",0
"F26608",1
"F26609",0
"F26610",0
"F26611",0
"F26612",1
"F26613",0
"F26614",0
"F26615",0
"F26616",1
"F26617",1
"F26618",0
"F26619",1
"F26620",1
"F26621",1
"F26622",1
"F26623",0
"F26624",0
"F26625",0
"F26626",1
"F26627",0
"F26628",1
"F26629",0
"F26630",0
"F26631",1
"F26632",1
"F26633",0
"F26634",1
"F26635",0
"F26636",1
"F26637",0
"F26638",1
"F26639",1
"F26640",1
"F26641",1
"F26642",0
"F26643",1
"F26644",0
"F26645",1
"F26646",0
"F26647",0
"F26648",1
